,sample,episode,number_of_iter
667,250,120,6
668,250,120,7
669,250,120,6
670,250,120,6
671,250,120,5
672,250,120,5
673,250,120,6
674,250,120,7
675,250,120,10
676,250,120,7
677,250,120,7
678,250,120,5
679,250,120,8
680,250,120,8
681,250,120,9
682,250,120,8
683,250,120,9
684,250,120,6
685,250,120,7
686,250,120,6
687,250,120,8
688,250,120,6
689,250,120,5
690,250,120,6
691,250,120,7
692,250,120,7
693,250,120,8
694,250,120,6
695,250,120,7
696,250,120,6
697,250,120,5
698,250,120,6
699,250,120,6
700,250,120,8
701,250,120,6
702,250,120,6
703,250,120,6
704,250,120,7
705,250,120,4
706,250,120,6
707,250,120,8
708,250,120,5
709,250,120,8
710,250,120,7
711,250,120,8
712,250,120,5
713,250,120,7
714,250,120,7
715,250,120,7
716,250,120,6
717,250,120,7
718,250,120,7
719,250,120,6
720,250,120,6
721,250,120,8
722,250,120,5
723,250,120,8
724,250,120,4
725,250,120,6
726,250,120,6
727,250,120,7
728,250,120,5
729,250,120,8
730,250,120,5
731,250,120,6
732,250,120,7
733,250,120,10
734,250,120,3
735,250,120,7
736,250,120,7
737,250,120,6
738,250,120,6
739,250,120,5
740,250,120,7
741,250,120,6
742,250,120,6
743,250,120,6
744,250,120,8
745,250,120,5
746,250,120,7
747,250,120,8
748,250,120,6
749,250,120,6
750,250,130,5
751,250,130,5
752,250,130,5
753,250,130,6
754,250,130,6
755,250,130,6
756,250,130,6
757,250,130,7
758,250,130,5
759,250,130,7
760,250,130,6
761,250,130,8
762,250,130,4
763,250,130,8
764,250,130,5
765,250,130,7
766,250,130,7
767,250,130,6
768,250,130,7
769,250,130,6
770,250,130,7
771,250,130,7
772,250,130,8
773,250,130,7
774,250,130,4
775,250,130,6
776,250,130,8
777,250,130,5
778,250,130,7
779,250,130,8
780,250,130,5
781,250,130,5
782,250,130,6
783,250,130,4
784,250,130,7
785,250,130,6
786,250,130,7
787,250,130,6
788,250,130,8
789,250,130,5
790,250,130,7
791,250,130,6
792,250,130,6
793,250,130,6
794,250,130,7
795,250,130,7
796,250,130,7
797,250,130,6
798,250,130,6
799,250,130,7
800,250,130,5
801,250,130,7
802,250,130,5
803,250,130,10
804,250,130,7
805,250,130,5
806,250,130,5
807,250,130,9
808,250,130,7
809,250,130,4
810,250,130,5
811,250,130,9
812,250,130,7
813,250,130,7
814,250,130,6
815,250,130,7
816,250,130,8
817,250,130,8
818,250,130,8
819,250,130,9
820,250,130,6
821,250,130,6
822,250,130,4
823,250,130,9
824,250,130,9
825,250,130,7
826,250,130,5
827,250,130,8
828,250,130,6
829,250,130,6
830,250,130,7
831,250,130,6
832,250,130,5
833,250,130,10
834,250,130,6
835,250,130,6
836,250,130,6
837,250,130,8
838,250,130,7
839,250,130,9
840,250,130,9
841,250,130,6
842,250,130,5
843,250,130,8
844,250,130,7
845,250,130,7
846,250,130,8
847,250,130,8
848,250,130,6
849,250,130,7
850,250,130,7
851,250,130,5
852,250,130,7
853,250,130,7
854,250,130,5
855,250,130,6
856,250,130,6
857,250,130,7
858,250,130,7
859,250,130,7
860,250,130,4
861,250,130,4
862,250,130,7
863,250,130,9
864,250,130,6
865,250,130,8
866,250,130,6
867,250,130,6
868,250,130,7
869,250,130,8
870,250,130,10
871,250,130,7
872,250,130,7
873,250,130,9
874,250,130,7
875,250,130,5
876,250,130,7
877,250,130,6
878,250,130,6
879,250,130,6
880,250,130,7
881,250,130,6
882,250,130,8
883,250,130,7
884,250,130,5
885,250,130,7
886,250,130,9
887,250,130,6
888,250,130,6
889,250,130,7
890,250,130,4
891,250,130,5
892,250,130,8
893,250,130,7
894,250,130,7
895,250,130,6
896,250,130,7
897,250,130,8
898,250,130,6
899,250,130,9
900,250,130,6
901,250,130,8
902,250,130,6
903,250,130,8
904,250,130,6
905,250,130,5
906,250,130,10
907,250,130,7
908,250,130,6
909,250,130,8
910,250,130,6
911,250,130,6
912,250,130,8
913,250,130,5
914,250,130,6
915,250,130,5
916,250,130,8
917,250,130,8
918,250,130,9
919,250,130,7
920,250,130,7
921,250,130,7
922,250,130,8
923,250,130,7
924,250,130,7
925,250,130,5
926,250,130,4
927,250,130,6
928,250,130,7
929,250,130,7
930,250,130,10
931,250,130,4
932,250,130,7
933,250,130,8
934,250,130,6
935,250,130,6
936,250,130,6
937,250,130,4
938,250,130,6
939,250,130,8
940,250,130,7
941,250,130,4
942,250,130,6
943,250,130,6
944,250,130,7
945,250,130,8
946,250,130,6
947,250,130,9
948,250,130,5
949,250,130,6
950,250,130,5
951,250,130,6
952,250,130,7
953,250,130,9
954,250,130,8
955,250,130,5
956,250,130,5
957,250,130,6
958,250,130,7
959,250,130,9
960,250,130,7
961,250,130,7
962,250,130,6
963,250,130,6
964,250,130,6
965,250,130,9
966,250,130,6
967,250,130,5
968,250,130,6
969,250,130,6
970,250,130,5
971,250,130,7
972,250,130,7
973,250,130,6
974,250,130,8
975,250,130,6
976,250,130,7
977,250,130,7
978,250,130,6
979,250,130,5
980,250,130,5
981,250,130,6
982,250,130,6
983,250,130,5
984,250,130,5
985,250,130,7
986,250,130,6
987,250,130,7
988,250,130,7
989,250,130,7
990,250,130,8
991,250,130,6
992,250,130,5
993,250,130,6
994,250,130,9
995,250,130,6
996,250,130,7
997,250,130,5
998,250,130,6
999,250,130,6
1000,250,140,5
1001,250,140,7
1002,250,140,7
1003,250,140,4
1004,250,140,8
1005,250,140,10
1006,250,140,8
1007,250,140,6
1008,250,140,11
1009,250,140,6
1010,250,140,7
1011,250,140,6
1012,250,140,7
1013,250,140,7
1014,250,140,7
1015,250,140,8
1016,250,140,6
1017,250,140,6
1018,250,140,6
1019,250,140,5
1020,250,140,6
1021,250,140,7
1022,250,140,8
1023,250,140,7
1024,250,140,7
1025,250,140,8
1026,250,140,7
1027,250,140,5
1028,250,140,6
1029,250,140,7
1030,250,140,8
1031,250,140,5
1032,250,140,6
1033,250,140,5
1034,250,140,7
1035,250,140,8
1036,250,140,10
1037,250,140,7
1038,250,140,6
1039,250,140,6
1040,250,140,8
1041,250,140,5
1042,250,140,8
1043,250,140,8
1044,250,140,8
1045,250,140,11
1046,250,140,6
1047,250,140,8
1048,250,140,7
1049,250,140,7
1050,250,140,7
1051,250,140,7
1052,250,140,7
1053,250,140,7
1054,250,140,6
1055,250,140,5
1056,250,140,7
1057,250,140,5
1058,250,140,7
1059,250,140,7
1060,250,140,4
1061,250,140,7
1062,250,140,9
1063,250,140,8
1064,250,140,7
1065,250,140,9
1066,250,140,6
1067,250,140,5
1068,250,140,6
1069,250,140,6
1070,250,140,7
1071,250,140,7
1072,250,140,6
1073,250,140,6
1074,250,140,8
1075,250,140,7
1076,250,140,8
1077,250,140,7
1078,250,140,7
1079,250,140,6
1080,250,140,5
1081,250,140,6
1082,250,140,6
1083,250,140,9
1084,250,140,4
1085,250,140,6
1086,250,140,7
1087,250,140,5
1088,250,140,7
1089,250,140,8
1090,250,140,7
1091,250,140,7
1092,250,140,5
1093,250,140,6
1094,250,140,7
1095,250,140,9
1096,250,140,8
1097,250,140,7
1098,250,140,6
1099,250,140,7
1100,250,140,8
1101,250,140,5
1102,250,140,5
1103,250,140,7
1104,250,140,9
1105,250,140,7
1106,250,140,6
1107,250,140,7
1108,250,140,6
1109,250,140,8
1110,250,140,6
1111,250,140,6
1112,250,140,8
1113,250,140,6
1114,250,140,7
1115,250,140,7
1116,250,140,6
1117,250,140,6
1118,250,140,6
1119,250,140,8
1120,250,140,7
1121,250,140,5
1122,250,140,7
1123,250,140,6
1124,250,140,5
1125,250,140,9
1126,250,140,7
1127,250,140,7
1128,250,140,8
1129,250,140,6
1130,250,140,6
1131,250,140,5
1132,250,140,6
1133,250,140,7
1134,250,140,9
1135,250,140,6
1136,250,140,7
1137,250,140,9
1138,250,140,7
1139,250,140,6
1140,250,140,8
1141,250,140,9
1142,250,140,6
1143,250,140,7
1144,250,140,7
1145,250,140,7
1146,250,140,6
1147,250,140,6
1148,250,140,8
1149,250,140,7
1150,250,140,6
1151,250,140,8
1152,250,140,6
1153,250,140,8
1154,250,140,5
1155,250,140,6
1156,250,140,8
1157,250,140,6
1158,250,140,5
1159,250,140,7
1160,250,140,9
1161,250,140,6
1162,250,140,6
1163,250,140,5
1164,250,140,5
1165,250,140,6
1166,250,140,9
1167,250,140,11
1168,250,140,7
1169,250,140,6
1170,250,140,6
1171,250,140,8
1172,250,140,6
1173,250,140,7
1174,250,140,6
1175,250,140,5
1176,250,140,4
1177,250,140,6
1178,250,140,7
1179,250,140,7
1180,250,140,7
1181,250,140,6
1182,250,140,6
1183,250,140,6
1184,250,140,11
1185,250,140,6
1186,250,140,6
1187,250,140,6
1188,250,140,6
1189,250,140,8
1190,250,140,5
1191,250,140,7
1192,250,140,9
1193,250,140,9
1194,250,140,6
1195,250,140,7
1196,250,140,6
1197,250,140,8
1198,250,140,8
1199,250,140,8
1200,250,140,6
1201,250,140,9
1202,250,140,5
1203,250,140,6
1204,250,140,4
1205,250,140,7
1206,250,140,6
1207,250,140,7
1208,250,140,6
1209,250,140,5
1210,250,140,10
1211,250,140,7
1212,250,140,5
1213,250,140,7
1214,250,140,8
1215,250,140,6
1216,250,140,7
1217,250,140,4
1218,250,140,7
1219,250,140,6
1220,250,140,5
1221,250,140,7
1222,250,140,7
1223,250,140,6
1224,250,140,6
1225,250,140,8
1226,250,140,6
1227,250,140,7
1228,250,140,6
1229,250,140,8
1230,250,140,8
1231,250,140,5
1232,250,140,7
1233,250,140,8
1234,250,140,7
1235,250,140,8
1236,250,140,6
1237,250,140,10
1238,250,140,6
1239,250,140,10
1240,250,140,6
1241,250,140,6
1242,250,140,7
1243,250,140,8
1244,250,140,8
1245,250,140,7
1246,250,140,9
1247,250,140,6
1248,250,140,10
1249,250,140,7
1250,250,150,9
1251,250,150,7
1252,250,150,6
1253,250,150,6
1254,250,150,7
1255,250,150,6
1256,250,150,8
1257,250,150,5
1258,250,150,6
1259,250,150,7
1260,250,150,6
1261,250,150,6
1262,250,150,4
1263,250,150,7
1264,250,150,6
1265,250,150,7
1266,250,150,5
1267,250,150,6
1268,250,150,6
1269,250,150,7
1270,250,150,6
1271,250,150,5
