,sample,episode,number_of_iter
972,200,250,5
973,200,250,7
974,200,250,5
975,200,250,7
976,200,250,7
977,200,250,6
978,200,250,8
979,200,250,5
980,200,250,6
981,200,250,8
982,200,250,5
983,200,250,6
984,200,250,7
985,200,250,7
986,200,250,6
987,200,250,6
988,200,250,6
989,200,250,7
990,200,250,5
991,200,250,6
992,200,250,5
993,200,250,7
994,200,250,6
995,200,250,7
996,200,250,5
997,200,250,7
998,200,250,5
999,200,250,6
